"CR","Tracking #","Target DB","Migrated On","Migrated By","CR Type"
"CR014004","HRS-60206","HRS","08/29/2021  8:12:22AM","00150774","CODE"
"CR014005","HRS-60148","HRS","07/28/2021  9:22:23AM","00274593","CODE"
"CR014007","HRS-60154","HRS","07/28/2021  4:51:09PM","00274593","CODE"
"CR014011","HRS-58660","HRS","07/29/2021  9:32:06AM","00274593","CODE"
"CR014013","HRS-60149","HRS","08/08/2021  8:01:13AM","00274593","CODE"
"CR014014","HRS-59984","HRS","09/05/2021  8:17:06AM","00379213","CODE"
"CR014017","HRS-60162","HRS","08/05/2021 10:49:57AM","00379213","CODE"
"CR014018","HRS-60165","HRS","07/30/2021  3:33:34PM","00274593","CODE"
"CR014022","HRS-58662","HRS","07/29/2021  3:43:43PM","00274593","CODE"
"CR014029","HRS-60140","HRS","09/05/2021  8:17:18AM","00379213","CODE"
"CR014031","HRS-60180","HRS","08/08/2021  8:10:05AM","00274593","CODE"
"CR014041","HRS-60193","HRS","08/03/2021  8:34:28AM","00274593","CODE"
"CR014044","HRS-60095","HRS","09/05/2021  8:17:12AM","00379213","CODE"
"CR014048","HRS-60193","HRS","08/03/2021  1:52:45PM","00274593","CODE"
"CR014052","HRS-60202","HRS","08/08/2021  8:10:10AM","00274593","CODE"
"CR014063","HRS-58667","HRS","09/24/2021  4:30:26PM","00274593","CODE"
"CR014064","HRS-60238","HRS","08/12/2021  2:11:51PM","00274593","CODE"
"CR014065","HRS-60237","HRS","08/11/2021  9:05:39AM","00274593","CODE"
"CR014066","HRS-60244","HRS","08/11/2021  3:03:34PM","00379213","CODE"
"CR014067","HRS-60239","HRS","08/11/2021  9:20:14AM","00274593","CODE"
"CR014072","HRS-58083","HRS","09/05/2021  8:00:59AM","00379213","CODE"
"CR014073","HRS-60125","HRS","09/05/2021  8:22:12AM","00379213","CODE"
"CR014075","HRS-58225","HRS","09/05/2021  8:01:15AM","00379213","CODE"
"CR014079","HRS-60268","HRS","09/05/2021  8:17:29AM","00379213","CODE"
"CR014085","HRS-60279","HRS","08/13/2021  1:36:08PM","00379213","CODE"
"CR014086","HRS-60025","HRS","09/05/2021  8:23:24AM","00379213","SCRT"
"CR014102","HRS-57768","HRS","11/26/2021  8:29:44AM","00274593","CODE"
"CR014108","HRS-60075","HRS","10/03/2021  8:01:44AM","00274593","CODE"
"CR014109","HRS-60205","HRS","08/19/2021  5:02:20PM","00274593","CODE"
"CR014110","HRS-60325","HRS","09/05/2021  8:22:17AM","00379213","CODE"
"CR014111","HRS-60216","HRS","09/05/2021  8:17:24AM","00379213","CODE"
"CR014112","HRS-59513","HRS","11/14/2021 10:12:59AM","00379213","CODE"
"CR014112","HRS-59513","HRS","11/02/2021 11:49:26AM","00274593","CODE"
"CR014113","HRS-59517","HRS","09/24/2021  4:31:16PM","00274593","CODE"
"CR014115","HRS-60274","HRS","09/05/2021  8:17:41AM","00379213","CODE"
"CR014116","HRS-60156","HRS","09/24/2021  4:31:51PM","00274593","CODE"
"CR014117","HRS-60333","HRS","10/03/2021  8:02:24AM","00274593","CODE"
"CR014119","HRS-59655","HRS","09/09/2021  4:01:08PM","00274593","CODE"
